id;plano_id;plano;acomodacao;vidas;estado;compulsorio;linha;coparticipacao;pf;quantidade_de_ativos;0-18;19-23;24-28;29-33;34-38;39-43;44-48;49-53;54-58;59+
1;vitalsaude_premium_730078616_paraíba_ccp_la_30_a_99_qc;VitalSaúde Premium R1;QC;"""30 a 99""";SÃO PAULO;Compulsório;Linha Premium;Sem coparticipação;false;339;"""231,07""";"""270,35""";"""330,43""";"""397,44""";"""418,24""";"""459,83""";"""575,36""";"""633,13""";"""790,26""";"""1381,79"""
2;vitalsaude_premium_320185174_bahia_sc_co_2_qc;VitalSaúde Premium R3;QC;"""2""";PERNAMBUCO;Demais empresas;Linha Básica;Com coparticipação parcial;false;391;"""826,39""";"""966,88""";"""1181,74""";"""1421,39""";"""1495,77""";"""1644,52""";"""2057,71""";"""2264,31""";"""2826,26""";"""4941,82"""
3;vitalsaude_elite_949679150_rio_de_janeiro_ccp_la_2_qp;VitalSaúde Elite R2;QP;"""2""";PARAÍBA;Compulsório;Linha Premium;Com coparticipação30;false;248;"""992,47""";"""1161,18""";"""1419,23""";"""1707,04""";"""1796,36""";"""1975,01""";"""2471,24""";"""2719,36""";"""3394,23""";"""5934,94"""
4;vitalsaude_master_071692541_paraíba_cc_la_2_qc;VitalSaúde Master R3;QC;"""2""";PARAÍBA;Demais empresas;Linha Básica;Sem coparticipação;false;98;"""416,89""";"""487,76""";"""596,15""";"""717,04""";"""754,56""";"""829,60""";"""1038,05""";"""1142,27""";"""1425,75""";"""2492,98"""
5;vitalsaude_premium_476529279_rio_de_janeiro_sc_co_30_a_99_qc;VitalSaúde Premium R3;QC;"""30 a 99""";BAHIA;Demais empresas;Linha Selecionada;Sem coparticipação;false;343;"""402,07""";"""470,42""";"""574,96""";"""691,56""";"""727,74""";"""800,12""";"""1001,15""";"""1101,67""";"""1375,07""";"""2404,37"""
6;vitalsaude_diamond_735758634_minas_gerais_cc_la_3_a_29_qc;VitalSaúde Diamond R3;QC;"""3 a 29""";RIO DE JANEIRO;Demais empresas;Linha Selecionada;Sem coparticipação;false;458;"""413,17""";"""483,41""";"""590,84""";"""710,66""";"""747,84""";"""822,21""";"""1028,80""";"""1132,09""";"""1413,05""";"""2470,77"""
7;vitalsaude_platinum_099851253_bahia_ccp_la_2_qp;VitalSaúde Platinum R3;QP;"""2""";PARAÍBA;Demais empresas;Linha Selecionada;Sem coparticipação;false;426;"""367,88""";"""430,42""";"""526,07""";"""632,76""";"""665,87""";"""732,09""";"""916,03""";"""1008,00""";"""1258,16""";"""2199,94"""
8;vitalsaude_diamond_431517211_rio_de_janeiro_ccp_co_2_qc;VitalSaúde Diamond R3;QC;"""2""";PERNAMBUCO;Demais empresas;Linha Selecionada;Sem coparticipação;false;412;"""502,61""";"""588,05""";"""718,73""";"""864,48""";"""909,72""";"""1000,19""";"""1251,49""";"""1377,14""";"""1718,92""";"""3005,59"""
9;vitalsaude_platinum_649986668_são_paulo_cc_la_3_a_29_qp;VitalSaúde Platinum R3;QP;"""3 a 29""";MINAS GERAIS;Livre Adesão;Linha Premium;Com coparticipação30;false;468;"""221,90""";"""259,62""";"""317,31""";"""381,66""";"""401,64""";"""441,58""";"""552,53""";"""608,00""";"""758,89""";"""1326,95"""
10;vitalsaude_platinum_769956963_paraná_sc_co_30_a_99_qp;VitalSaúde Platinum R1;QP;"""30 a 99""";PARANÁ;Demais empresas;Linha Master;Com coparticipação parcial;false;284;"""657,01""";"""768,71""";"""939,53""";"""1130,07""";"""1189,20""";"""1307,46""";"""1635,97""";"""1800,22""";"""2246,99""";"""3928,95"""
11;vitalsaude_basic_758033631_rio_de_janeiro_ccp_co_30_a_99_qc;VitalSaúde Basic R3;QC;"""30 a 99""";PERNAMBUCO;Demais empresas;Linha Master;Com coparticipação30;false;20;"""680,18""";"""795,81""";"""972,66""";"""1169,91""";"""1231,12""";"""1353,56""";"""1693,65""";"""1863,69""";"""2326,21""";"""4067,47"""
12;vitalsaude_premium_720835287_paraíba_cc_la_100_a_199_qp;VitalSaúde Premium R1;QP;"""100 a 199""";PARANÁ;Demais empresas;Linha Premium;Com coparticipação30;false;166;"""939,22""";"""1098,88""";"""1343,08""";"""1615,45""";"""1699,98""";"""1869,04""";"""2338,65""";"""2573,45""";"""3212,12""";"""5616,51"""
13;vitalsaude_master_977674794_paraíba_sc_co_100_a_199_qp;VitalSaúde Master R2;QP;"""100 a 199""";BAHIA;Livre Adesão;Linha Básica;Sem coparticipação;false;223;"""278,01""";"""325,27""";"""397,56""";"""478,18""";"""503,20""";"""553,24""";"""692,25""";"""761,75""";"""950,80""";"""1662,51"""
14;vitalsaude_master_294533567_são_paulo_cc_la_3_a_29_qp;VitalSaúde Master R2;QP;"""3 a 29""";BAHIA;Compulsório;Linha Premium;Com coparticipação parcial;false;2;"""1191,31""";"""1393,83""";"""1703,57""";"""2049,05""";"""2156,27""";"""2370,70""";"""2966,36""";"""3264,18""";"""4074,27""";"""7124,02"""
15;vitalsaude_master_111755046_paraíba_cc_co_100_a_199_qc;VitalSaúde Master R3;QC;"""100 a 199""";PERNAMBUCO;Compulsório;Linha Básica;Sem coparticipação;false;12;"""942,33""";"""1102,53""";"""1347,53""";"""1620,81""";"""1705,62""";"""1875,24""";"""2346,40""";"""2581,99""";"""3222,77""";"""5635,14"""
16;vitalsaude_basic_519946274_paraná_cc_co_30_a_99_qc;VitalSaúde Basic R3;QC;"""30 a 99""";MINAS GERAIS;Demais empresas;Linha Master;Com coparticipação30;false;98;"""899,93""";"""1052,91""";"""1286,90""";"""1547,87""";"""1628,87""";"""1790,86""";"""2240,82""";"""2465,80""";"""3077,75""";"""5381,57"""
17;vitalsaude_diamond_851072727_pernambuco_ccp_co_30_a_99_qc;VitalSaúde Diamond R2;QC;"""30 a 99""";SÃO PAULO;Compulsório;Linha Selecionada;Sem coparticipação;false;236;"""781,91""";"""914,84""";"""1118,13""";"""1344,89""";"""1415,26""";"""1556,01""";"""1946,96""";"""2142,44""";"""2674,14""";"""4675,83"""
18;vitalsaude_elite_760974438_paraíba_ccp_la_3_a_29_qc;VitalSaúde Elite R3;QC;"""3 a 29""";PERNAMBUCO;Demais empresas;Linha Selecionada;Com coparticipação30;false;367;"""830,73""";"""971,96""";"""1187,95""";"""1428,86""";"""1503,63""";"""1653,16""";"""2068,52""";"""2276,21""";"""2841,10""";"""4967,78"""
19;vitalsaude_gold_682159460_são_paulo_cc_co_3_a_29_qc;VitalSaúde Gold R2;QC;"""3 a 29""";RIO DE JANEIRO;Compulsório;Linha Selecionada;Com coparticipação30;false;18;"""331,46""";"""387,81""";"""473,99""";"""570,11""";"""599,94""";"""659,61""";"""825,34""";"""908,20""";"""1133,59""";"""1982,13"""
20;vitalsaude_gold_648520661_pernambuco_sc_la_2_qp;VitalSaúde Gold R3;QP;"""2""";PARAÍBA;Demais empresas;Linha Premium;Com coparticipação parcial;false;260;"""1156,39""";"""1352,98""";"""1653,64""";"""1988,99""";"""2093,07""";"""2301,22""";"""2879,42""";"""3168,51""";"""3954,86""";"""6915,22"""
21;vitalsaude_platinum_785594514_paraíba_cc_co_100_a_199_qp;VitalSaúde Platinum R1;QP;"""100 a 199""";BAHIA;Demais empresas;Linha Premium;Sem coparticipação;false;205;"""1118,17""";"""1308,26""";"""1598,98""";"""1923,25""";"""2023,89""";"""2225,16""";"""2784,25""";"""3063,79""";"""3824,14""";"""6686,66"""
22;vitalsaude_elite_412611900_minas_gerais_ccp_co_3_a_29_qp;VitalSaúde Elite R3;QP;"""3 a 29""";SÃO PAULO;Livre Adesão;Linha Master;Sem coparticipação;false;239;"""675,25""";"""790,04""";"""965,61""";"""1161,43""";"""1222,20""";"""1343,75""";"""1681,37""";"""1850,18""";"""2309,35""";"""4037,99"""
23;vitalsaude_elite_544671526_minas_gerais_sc_la_100_a_199_qp;VitalSaúde Elite R1;QP;"""100 a 199""";MINAS GERAIS;Compulsório;Linha Básica;Com coparticipação parcial;false;407;"""452,14""";"""529,01""";"""646,57""";"""777,69""";"""818,38""";"""899,77""";"""1125,84""";"""1238,88""";"""1546,34""";"""2703,83"""
24;vitalsaude_platinum_681304589_paraíba_ccp_la_3_a_29_qc;VitalSaúde Platinum R1;QC;"""3 a 29""";SÃO PAULO;Compulsório;Linha Selecionada;Com coparticipação parcial;false;103;"""602,17""";"""704,53""";"""861,10""";"""1035,73""";"""1089,92""";"""1198,31""";"""1499,39""";"""1649,94""";"""2059,41""";"""3600,95"""
25;vitalsaude_silver_727761497_são_paulo_ccp_la_3_a_29_qp;VitalSaúde Silver R1;QP;"""3 a 29""";PARAÍBA;Demais empresas;Linha Selecionada;Com coparticipação parcial;false;152;"""777,97""";"""910,23""";"""1112,50""";"""1338,11""";"""1408,13""";"""1548,16""";"""1937,15""";"""2131,64""";"""2660,66""";"""4652,27"""
26;vitalsaude_diamond_869047700_minas_gerais_ccp_co_2_qp;VitalSaúde Diamond R3;QP;"""2""";MINAS GERAIS;Compulsório;Linha Selecionada;Com coparticipação parcial;false;441;"""857,93""";"""1003,77""";"""1226,84""";"""1475,63""";"""1552,85""";"""1707,27""";"""2136,24""";"""2350,72""";"""2934,11""";"""5130,40"""
27;vitalsaude_premium_749978730_rio_de_janeiro_ccp_co_100_a_199_qc;VitalSaúde Premium R3;QC;"""100 a 199""";MINAS GERAIS;Livre Adesão;Linha Premium;Sem coparticipação;false;242;"""1007,84""";"""1179,17""";"""1441,21""";"""1733,48""";"""1824,19""";"""2005,60""";"""2509,52""";"""2761,48""";"""3446,81""";"""6026,87"""
28;vitalsaude_gold_588213786_bahia_sc_la_30_a_99_qp;VitalSaúde Gold R3;QP;"""30 a 99""";MINAS GERAIS;Compulsório;Linha Básica;Sem coparticipação;false;52;"""455,07""";"""532,44""";"""650,75""";"""782,73""";"""823,68""";"""905,60""";"""1133,13""";"""1246,90""";"""1556,35""";"""2721,34"""
29;vitalsaude_gold_056527168_são_paulo_sc_co_100_a_199_qp;VitalSaúde Gold R2;QP;"""100 a 199""";SÃO PAULO;Demais empresas;Linha Básica;Com coparticipação parcial;false;471;"""507,62""";"""593,92""";"""725,90""";"""873,11""";"""918,80""";"""1010,17""";"""1263,98""";"""1390,89""";"""1736,07""";"""3035,59"""
30;vitalsaude_premium_687643639_paraíba_cc_co_3_a_29_qc;VitalSaúde Premium R2;QC;"""3 a 29""";RIO DE JANEIRO;Demais empresas;Linha Selecionada;Com coparticipação30;false;493;"""567,44""";"""663,91""";"""811,44""";"""976,00""";"""1027,07""";"""1129,21""";"""1412,93""";"""1554,79""";"""1940,66""";"""3393,31"""
